# J_EE J_IE J_EI J_II tau_syn_E tau_syn_I J_ext
1.589 0.9 -6 -8.441 0.5 0.5 29.89
1.589 1.2444 -9.7778 -8.441 0.5 0.5 29.89
1.589 1.5889 -13.5556 -8.441 0.5 0.5 29.89
1.589 1.9333 -17.3333 -8.441 0.5 0.5 29.89
1.589 2.2778 -21.1111 -8.441 0.5 0.5 29.89
1.589 2.6222 -24.8889 -8.441 0.5 0.5 29.89
1.589 2.9667 -28.6667 -8.441 0.5 0.5 29.89
1.589 3.3111 -29.89.4444 -8.441 0.5 0.5 32
1.589 3.6556 -36.2222 -8.441 0.5 0.5 29.89
1.589 4 -40 -8.441 0.5 0.5 29.89
